trial,Offer_to_P2_stage1,Reason
115,40,"If you reject now, your best-case continuation value is low because your Stage 2 payoff is discounted to 0.4 and Stage 3 to 0.16. Offering you 40 now gives you 40 immediately, which is better for you than waiting for later rounds in many cases, while keeping 60 for me at the high Stage 1 value."
116,41,"If you reject now, your best possible payoff later is 16 in stage 3, since I would then make a final offer giving you just enough to accept. So 41 now is much better for you, and it lets me keep a strong share at stage 1."
117,40,"If you reject now, your best possible continuation is in Stage 3, where at most you can get 100 × 0.16 = 16 discounted points, since I would reject any Stage 2 offer that gives me less than my Stage 3 value. So accepting 40 now is much better for you, while keeping 60 for me is optimal for my payoff."
118,16,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, because even if you get all 100 points then, your discount factor is only 0.16. So offering you 16 now makes acceptance weakly optimal for you, while letting me keep 84 immediately."
119,40,"If you reject now, your best possible continuation value is at most 16 in Stage 3, since I can then offer you 100 and you receive 100×0.16=16. So any Stage 1 offer above 16 should be acceptable for you. I offer 40 to P2 and keep 60, which gives me a strong payoff now while still making acceptance attractive for you."
120,40,"If you reject now, your best possible continuation payoff is limited by discounting. In Stage 2, even if you propose keeping everything, your payoff would be 40, and if that fails then in Stage 3 your maximum payoff is only 16. So offering you 40 now gives you as much as your Stage 2 ceiling immediately, while I keep 60 at the highest discount factor for myself."
121,40,"If you reject now, your best possible continuation payoff is at most 9.6 in Stage 3 (60 × 0.16) because I would reject any Stage 2 offer giving me less than 40, and then in Stage 3 I can offer you 60. So giving you 40 now is much better for you than waiting, while keeping 60 for me at full Stage 1 value."
122,40,"If you reject now, your best possible continuation payoff is at Stage 2: proposing 40 to me and keeping 60 gives you 60×0.4=24. This Stage 1 offer gives you 40 immediately, which is better than 24, so it should be acceptable. It also lets me keep 60 now, maximizing my payoff among offers you should rationally accept."
123,40,"If you reject now, your best possible accepted payoff later is lower because of discounting: at Stage 3 even getting all 100 would be worth only 16 to you, and in Stage 2 any accepted offer is discounted to 0.4 of the points. Offering you 40 now gives you 40 immediately while I keep 60, which is favorable for me but still attractive for you relative to waiting."
124,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting all 100 points would be worth only 16 to you because of discounting. So any Stage 1 offer above 16 should be acceptable for you on payoff grounds. I’m offering 40 to make acceptance attractive while keeping a larger share for myself."
125,40,"If you reject now, your best possible payoff later is limited by discounting: in Stage 2, even getting all 100 points gives you 40 payoff, and in Stage 3 the maximum is only 16. Offering you 40 now gives you 40 immediately, which matches your Stage 2 maximum and is much better than Stage 3, while letting me keep 60 now."
126,40,"If you reject now, your best possible accepted payoff later is at most 16 in Stage 3, since your discount factor falls a lot. Offering you 40 now gives you 40 immediately, which should be attractive enough to accept while keeping 60 for me."
127,40,"If you reject now, your best possible payoff later is lower because your discount factor falls sharply. In Stage 2, even if you offer yourself everything, your payoff would be 100×0.4=40, and in Stage 3 it is even worse. So 40 now gives you as much as your theoretical maximum from rejecting, while letting me keep the rest and making immediate agreement attractive."
128,40,"If you reject now, your best possible outcome later is 16 points in Stage 3, since I can then offer you the minimum you would accept to avoid getting 0. Offering you 40 now is far better for you and still gives me a strong payoff, so it is a favorable offer that should be accepted."
129,40,"If you reject now, your best possible outcome later is limited by discounting. In Stage 2, even if you offer yourself everything, your payoff would be 100×0.4=40, and in Stage 3 it would be even lower. So giving you 40 now matches your maximum discounted continuation value while letting me keep the rest. This makes 40 a payoff-maximizing offer for me that you should be willing to accept."
130,39,"If you reject now, your best possible payoff later is lower because your discount factor falls from 1 in Stage 1 to 0.4 in Stage 2 and 0.16 in Stage 3. Offering you 39 now gives you 39 points immediately, which is better than what you can credibly secure after delay. This also leaves me 61 now, which maximizes my payoff while still making acceptance attractive for you."
