trial,Offer_to_P2_stage1,Reason
119,40,"If you reject now, your best possible outcome later is lower because of discounting. In Stage 2, even if you propose keeping 100 for yourself, your payoff would be 100×0.4=40, and if that fails, Stage 3 is even worse for you. So 40 now gives you as much as your theoretical maximum from delaying, while leaving me 60 now, which is best for me among offers you should be willing to accept."
120,40,"If you reject now, your next opportunity is Stage 2 where your discount factor is only 0.4, and if that also fails then by Stage 3 your discount factor falls to 0.16. Offering you 40 now gives you a sure payoff of 40, which is much better than the delayed alternatives, while I keep 60 at the highest discount factor."
121,64,"If you reject now, your best possible payoff later is at Stage 3, where you would need me to offer you at least 40 points for acceptance, and with your 0.16 discount that is worth only 6.4. This Stage 1 offer gives you 64 immediately, which is much better for you, while keeping me more than my continuation value from later stages."
122,40,"If you reject now, your best possible continuation payoff is at most 0.16×100=16 in Stage 3, since I would reject any Stage 2 offer that gives me less than 36. Offering you 40 now gives you 40 immediately, which is much better than waiting, while I keep 60."
123,40,"If you reject now, your best possible continuation payoff is in Stage 3, where even getting 100 points would be worth only 16 to you because of discounting. Offering you 40 now gives you 40 immediately, which is much better than waiting. This proposal also keeps 60 for me now, which is better for me than later-stage outcomes, so it is a strong stage-1 offer that should be acceptable."
124,29,"If you reject now, your best possible payoff later is 16 at stage 3, since as P2 you can accept or reject my final offer then, and delay reduces your payoff a lot. Offering you 29 now gives you 29 immediately, which is better than waiting. It also leaves me 71 now, which maximizes my payoff while still making acceptance attractive."
125,40,"If you reject now and we continue, your future bargaining position is discounted heavily, so delay is costly for both of us. Offering you 40 gives you a strong immediate payoff while keeping 60 for me, and it should be better for you than risking a later outcome."
126,40,"If you reject now, your best possible payoff later is lower because your discount factor falls sharply. At stage 2, even if you propose keeping 100 for yourself and I irrationally accepted, your payoff would be 100×0.4=40. At stage 3, the maximum possible is 100×0.16=16. So 40 now gives you as much as your theoretical best continuation value, while giving me more than I could expect by delaying. This makes 40 a strong acceptance-inducing offer and maximizes my payoff among offers you should be willing to accept."
127,16,"If you reject now, your best possible payoff later is 16 in Stage 3, since at Stage 3 I can offer you 100 and your discount factor is 0.16. So 16 now makes you at least as well off as continuing, while letting me keep as much as possible in Stage 1."
128,40,"If you reject now, your best possible continuation is in Stage 2: offer me at most 64 so that I weakly prefer accepting over waiting for Stage 3, leaving yourself 36, worth 14.4 after your 0.4 discount. Accepting 40 now gives you 40, which is much better. So 40 should be acceptable while keeping 60 for me."
129,40,"If you reject now, your best possible continuation payoff is at most 16 in Stage 3, since I would then make the final offer and you only get 0.16 times any points allocated to you. Offering you 40 now gives you a payoff of 40 immediately, which is much better for you, while keeping 60 for me. This should be acceptable and avoids inefficient delay."
130,16,"If you reject now, your best possible payoff later is at Stage 3, where you would need me to offer you at least 17 for rejection to beat accepting 16 now, but I control that final offer. Since delay hurts both players and especially reduces your discounted value, 16 is a strong take-it-now offer while keeping most of the surplus for me as P1."
